gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
1.0180,0.0000,0.0000,,1.0180,0.0000,270,13,47,4,0,0,0,0,internal/storage/v2/grpc/handler.go
1.0146,0.0000,0.0000,,1.0146,0.0000,215,8,16,9,0,0,0,0,cmd/jaeger/internal/extension/jaegerquery/querysvc/service.go
1.0079,0.5435,0.5435,,2.2079,1.2000,241,5,39,28,0,6,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/handlers/search_traces.go
1.0047,0.0000,0.0000,,1.0047,0.0000,63,2,6,1,0,0,0,0,internal/config/tlscfg/options.go
0.9958,0.4010,0.4010,,1.6625,0.6667,111,3,6,20,0,2,0,0,cmd/jaeger/internal/integration/trace_writer.go
0.9914,0.0000,0.0000,,0.9914,0.0000,41,2,3,3,0,0,0,0,internal/sampling/samplingstrategy/adaptive/weightvectorcache.go
0.9914,0.0000,0.0000,,0.9914,0.0000,44,2,3,3,0,0,0,0,internal/sampling/samplingstrategy/adaptive/calculationstrategy/percentage_increase_capped_calculator.go
0.9840,0.0000,0.0000,,0.9840,0.0000,33,1,2,1,0,0,0,0,internal/hostname/hostname.go
0.9838,0.0000,0.0000,,0.9838,0.0000,33,2,9,0,0,0,0,0,internal/jptrace/valuetype.go
0.9832,0.0000,0.0000,,0.9832,0.0000,138,7,17,5,0,0,0,0,internal/cache/lru.go
0.9826,0.0000,0.0000,,0.9826,0.0000,39,1,0,6,0,0,0,0,examples/hotrod/cmd/frontend.go
0.9734,0.0000,0.0000,,0.9734,0.0000,120,7,15,6,0,0,0,0,internal/storage/v2/elasticsearch/tracestore/reader.go
0.9716,0.2554,0.2554,,1.3050,0.3333,102,6,15,13,0,2,0,0,cmd/internal/flags/flags.go
0.9547,0.0000,0.0000,,0.9547,0.0000,29,1,1,2,0,0,0,0,internal/storage/v1/badger/stats_linux.go
0.9387,0.5158,0.5158,,1.9387,1.0000,37,1,5,5,0,1,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/otlp_translator.go
0.9378,0.0000,0.0000,,0.9378,0.0000,203,13,23,13,0,0,0,0,internal/storage/v1/badger/samplingstore/storage.go
0.9296,0.1520,0.1520,,1.0963,0.1667,81,6,11,10,0,1,0,0,internal/storage/elasticsearch/indices/time_range.go
0.9214,0.0000,0.0000,,0.9214,0.0000,172,14,17,21,0,0,0,0,internal/uimodel/converter/v1/json/from_domain.go
0.9141,0.0986,0.0986,,1.0141,0.1000,166,10,16,15,0,1,0,0,internal/storage/v2/elasticsearch/tracestore/core/writer.go
0.8788,0.3128,0.3128,,1.2788,0.4000,106,5,20,5,0,2,0,0,internal/storage/elasticsearch/config/auth_helper.go
0.8777,0.3762,0.3762,,1.4071,0.5294,333,17,55,36,0,9,0,0,internal/storage/v2/clickhouse/tracestore/query_builder.go
0.8713,0.0000,0.0000,,0.8713,0.0000,73,5,10,3,0,0,0,0,internal/jptrace/sanitizer/negative_duration_santizer.go
0.8663,0.0000,0.0000,,0.8663,0.0000,62,4,7,3,0,0,0,0,internal/uimodel/converter/v1/json/process_hashtable.go
0.8629,0.2787,0.2787,,1.1962,0.3333,96,3,10,3,0,1,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/handlers/get_trace_errors.go
0.8627,0.0000,0.0000,,0.8627,0.0000,38,2,2,3,0,0,0,0,internal/uimodel/converter/v1/json/sampling.go
0.8469,0.3123,0.3123,,1.2315,0.3846,247,13,29,26,0,5,0,0,internal/storage/v1/badger/factory.go
0.8416,0.1166,0.1166,,0.9527,0.1111,171,9,21,6,0,1,0,0,internal/sampling/samplingstrategy/adaptive/aggregator.go
0.8409,0.0394,0.0394,,0.8754,0.0345,591,29,61,16,0,1,0,0,internal/storage/integration/integration.go
0.8270,0.1677,0.1677,,0.9937,0.1667,254,12,26,11,0,2,0,0,internal/storage/v1/cassandra/spanstore/writer.go
0.8269,0.0000,0.0000,,0.8269,0.0000,206,14,24,9,0,0,0,0,internal/storage/v2/memory/memory.go
0.8240,0.0000,0.0000,,0.8240,0.0000,40,3,5,2,0,0,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/util.go
0.8126,0.4507,0.4507,,1.4792,0.6667,131,6,12,26,0,4,0,0,internal/storage/metricstore/prometheus/options.go
0.8125,0.4179,0.4179,,1.3958,0.5833,277,12,35,28,0,7,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/apiv3/http_gateway.go
0.8093,0.2036,0.2036,,1.0162,0.2069,530,29,63,29,0,6,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/http_handler.go
0.8039,0.0000,0.0000,,0.8039,0.0000,75,5,10,2,0,0,0,0,internal/storage/v1/badger/dependencystore/storage.go
0.8007,0.4021,0.4021,,1.3391,0.5385,359,13,40,24,0,7,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/query_parser.go
0.8000,0.0000,0.0000,,0.8000,0.0000,24,0,3,0,0,0,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/types/get_critical_path.go
0.8000,0.0000,0.0000,,0.8000,0.0000,36,0,3,0,0,0,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/types/get_trace_topology.go
0.8000,0.0000,0.0000,,0.8000,0.0000,21,1,3,0,0,0,0,0,internal/jptrace/spanmap.go
0.8000,0.0000,0.0000,,0.8000,0.0000,45,1,3,0,0,0,0,0,internal/jaegerclientenv2otel/envvars.go
0.7967,0.0000,0.0000,,0.7967,0.0000,126,10,15,7,0,0,0,0,internal/storage/v2/clickhouse/clickhousetest/driver.go
0.7950,0.0000,0.0000,,0.7950,0.0000,85,6,8,5,0,0,0,0,internal/gogocodec/codec.go
0.7813,0.0000,0.0000,,0.7813,0.0000,55,5,4,7,0,0,0,0,internal/storage/v1/cassandra/spanstore/writer_options.go
0.7790,0.1383,0.1383,,0.9040,0.1250,140,8,21,3,0,1,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/adjuster/spaniduniquifier.go
0.7617,0.4961,0.4961,,1.5117,0.7500,153,4,17,8,0,3,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/handlers/get_critical_path.go
0.7508,0.4876,0.4876,,1.4650,0.7143,231,7,30,12,0,5,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/handlers/get_span_details.go
0.7500,0.0000,0.0000,,0.7500,0.0000,60,1,1,1,0,0,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/ddg/deep_dependencies.go
0.7500,0.0000,0.0000,,0.7500,0.0000,23,1,1,1,0,0,0,0,internal/safeexpvar/safeexpvar.go
0.7500,0.0000,0.0000,,0.7500,0.0000,75,6,6,6,0,0,0,0,internal/storage/v2/memory/sampling.go
0.7498,0.0000,0.0000,,0.7498,0.0000,59,3,8,0,0,0,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/adjuster/libraryattributes.go
0.7469,0.0000,0.0000,,0.7469,0.0000,51,6,8,4,0,0,0,0,internal/storage/elasticsearch/filter/alias.go
0.7467,0.0000,0.0000,,0.7467,0.0000,79,4,8,1,0,0,0,0,examples/hotrod/pkg/tracing/rpcmetrics/normalizer.go
0.7454,0.6910,0.6910,,2.4121,1.6667,89,3,16,27,2,5,0,0,scripts/release/rotate-managers.py
0.7432,0.5736,0.5736,,1.7432,1.0000,92,2,9,7,0,2,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/handlers/get_span_names.go
0.7414,0.2522,0.2522,,0.9914,0.2500,89,4,6,6,0,1,0,0,internal/storage/v1/cassandra/spanstore/service_names.go
0.7335,0.0000,0.0000,,0.7335,0.0000,79,4,6,2,0,0,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/adjuster/sort.go
0.7113,0.0000,0.0000,,0.7113,0.0000,35,3,5,1,0,0,0,0,internal/storage/v1/cassandra/spanstore/dbmodel/unique_ids.go
0.7113,0.0000,0.0000,,0.7113,0.0000,54,3,5,1,0,0,0,0,internal/storage/integration/dates.go
0.7113,0.0000,0.0000,,0.7113,0.0000,78,6,10,2,0,0,0,0,internal/storage/v2/cassandra/tracestore/reader.go
0.7046,0.3319,0.3319,,1.0546,0.3500,363,20,40,26,0,7,0,0,internal/sampling/samplingstrategy/adaptive/post_aggregator.go
0.7000,0.0000,0.0000,,0.7000,0.0000,30,2,0,6,0,0,0,0,cmd/es-rollover/app/lookback/flags.go
0.6990,0.2094,0.2094,,0.8842,0.1852,330,27,39,29,0,5,0,0,internal/storage/v1/cassandra/spanstore/mocks/mocks.go
0.6980,0.2066,0.2066,,0.8798,0.1818,274,22,31,24,0,4,0,0,internal/storage/v1/api/metricstore/mocks/mocks.go
0.6842,0.1727,0.1727,,0.8271,0.1429,101,7,9,7,0,1,0,0,internal/storage/v1/api/dependencystore/mocks/mocks.go
0.6788,0.0000,0.0000,,0.6788,0.0000,81,6,11,1,0,0,0,0,internal/converter/thrift/jaeger/sampling_from_domain.go
0.6728,0.0850,0.0850,,0.7353,0.0625,179,16,18,13,0,1,0,0,internal/storage/v1/cassandra/factory.go
0.6562,0.0000,0.0000,,0.6562,0.0000,243,16,29,2,0,0,0,0,internal/storage/integration/trace_compare.go
0.6453,0.0000,0.0000,,0.6453,0.0000,129,8,7,6,0,0,0,0,internal/storage/v2/api/tracestore/tracestoremetrics/reader_metrics.go
0.6452,0.2148,0.2148,,0.8217,0.1765,400,34,44,33,0,6,0,0,internal/storage/v1/api/spanstore/mocks/mocks.go
0.6448,0.0000,0.0000,,0.6448,0.0000,138,3,2,3,0,0,0,0,cmd/es-rollover/main.go
