gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
1.5664,0.0000,0.0000,,1.5664,0.0000,195,10,33,32,0,0,0,0,pkg/pattern/drain/chunk.go
1.5617,0.3627,0.3627,,2.4506,0.8889,451,9,81,74,0,8,0,0,pkg/logql/log/jsonexpr/jsonexpr.y.go
1.5608,0.0000,0.0000,,1.5608,0.0000,34,0,0,21,0,0,0,0,pkg/dataobj/internal/dataset/read_stats.go
1.5500,0.0000,0.0000,,1.5500,0.0000,63,2,14,2,0,0,0,0,operator/internal/controller/loki/internal/lokistack/update.go
1.5498,0.0000,0.0000,,1.5498,0.0000,362,20,103,34,0,0,0,0,pkg/distributor/field_detection.go
1.5464,0.3927,0.3927,,2.5464,1.0000,160,1,10,9,0,1,0,0,pkg/dataobj/internal/arrowconv/columnar.go
1.5450,0.0000,0.0000,,1.5450,0.0000,80,3,11,8,0,0,0,0,pkg/dataobj/sections/logs/table_build.go
1.5404,0.0000,0.0000,,1.5404,0.0000,70,3,9,10,0,0,0,0,operator/internal/certrotation/cabundle.go
1.5385,0.0000,0.0000,,1.5385,0.0000,58,2,9,4,0,0,0,0,pkg/storage/chunk/cache/resultscache/util.go
1.5239,0.0000,0.0000,,1.5239,0.0000,107,4,16,9,0,0,0,0,pkg/storage/detected/fields.go
1.5209,0.0000,0.0000,,1.5209,0.0000,362,16,61,38,0,0,0,0,operator/internal/manifests/storage/configure.go
1.5000,0.0000,0.0000,,1.5000,0.0000,75,1,3,3,0,0,0,0,pkg/storage/stores/series/index/index.go
1.5000,0.0000,0.0000,,1.5000,0.0000,30,1,3,3,0,0,0,0,pkg/storage/stores/shipper/indexshipper/tsdb/index/fingerprint.go
1.4835,0.0000,0.0000,,1.4835,0.0000,39,2,8,4,0,0,0,0,clients/cmd/logstash/lib/logstash/outputs/loki/entry.rb
1.4729,0.0000,0.0000,,1.4729,0.0000,39,1,6,1,0,0,0,0,pkg/util/wal/reader.go
1.4729,0.0000,0.0000,,1.4729,0.0000,29,1,6,1,0,0,0,0,pkg/engine/internal/planner/logical/builder_referrers.go
1.4727,0.0000,0.0000,,1.4727,0.0000,57,2,16,1,0,0,0,0,pkg/engine/internal/assertions/records.go
1.4721,0.0000,0.0000,,1.4721,0.0000,132,4,19,6,0,0,0,0,operator/internal/handlers/internal/gateway/tenant_secrets.go
1.4676,0.1851,0.1851,,1.8009,0.3333,124,3,23,6,0,1,0,0,pkg/querier/handler.go
1.4674,0.0000,0.0000,,1.4674,0.0000,94,4,12,11,0,0,0,0,pkg/engine/internal/types/column.go
1.4637,0.0000,0.0000,,1.4637,0.0000,110,6,28,9,0,0,0,0,pkg/util/validation/limits.go
1.4613,0.0000,0.0000,,1.4613,0.0000,84,6,26,10,0,0,0,0,pkg/xcap/aggregation.go
1.4595,0.2552,0.2552,,1.9595,0.5000,54,2,14,7,0,1,0,0,operator/internal/validation/openshift/otlp.go
1.4593,0.4066,0.4066,,2.4593,1.0000,399,8,76,63,0,8,0,0,pkg/logql/log/pattern/expr.y.go
1.4536,0.4784,0.4784,,2.7869,1.3333,589,9,117,101,0,11,0,1,pkg/loghttp/push/otlp.go
1.4527,0.1955,0.1955,,1.8056,0.3529,372,17,68,66,4,6,0,0,clients/cmd/fluentd/lib/fluent/plugin/out_loki.rb
