gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
1.9385,0.0000,0.0000,,1.9385,0.0000,39,1,10,2,0,0,0,0,apps/playlist/pkg/reconcilers/reconciler_playlist.go
1.9373,0.0000,0.0000,,1.9373,0.0000,24,0,1,20,0,0,0,0,pkg/services/publicdashboards/models/errors.go
1.9356,0.0000,0.0000,,1.9356,0.0000,77,2,12,8,0,0,0,0,pkg/tsdb/cloudwatch/services/log_groups.go
1.9300,0.1147,0.1147,,2.1800,0.2500,402,8,61,39,1,2,0,0,pkg/services/apiserver/builder/helper.go
1.9289,0.0000,0.0000,,1.9289,0.0000,185,2,9,11,0,0,0,0,pkg/storage/unified/search/bleve_mappings.go
1.9216,0.0000,0.0000,,1.9216,0.0000,458,12,54,11,53,0,0,0,e2e-playwright/utils/scope-helpers.ts
1.9175,0.1320,0.1320,,2.2091,0.2917,1010,24,242,98,0,7,0,0,pkg/tsdb/cloud-monitoring/converter/converter.go
1.9067,0.0269,0.0269,,1.9594,0.0526,583,19,90,106,0,1,0,0,pkg/util/xorm/dialect_mysql.go
1.9000,0.0000,0.0000,,1.9000,0.0000,33,1,7,3,0,0,0,0,pkg/registry/apis/provisioning/resources/filepath.go
1.8919,0.0555,0.0555,,2.0030,0.1111,1922,9,255,1,0,0,1,0,pkg/server/wire_gen.go
1.8911,0.0620,0.0620,,2.0161,0.1250,255,8,55,33,0,1,0,0,pkg/tsdb/cloudwatch/log_query.go
1.8891,0.0000,0.0000,,1.8891,0.0000,160,7,30,37,0,0,0,0,pkg/tsdb/cloudwatch/metric_data_query_builder.go
1.8835,0.0000,0.0000,,1.8835,0.0000,86,1,9,2,0,0,0,0,apps/dashboard/pkg/migration/schemaversion/v24.go
1.8790,0.0000,0.0000,,1.8790,0.0000,252,7,47,21,0,0,0,0,pkg/tsdb/cloudwatch/response_parser.go
1.8690,0.0000,0.0000,,1.8690,0.0000,247,4,13,27,0,0,0,0,pkg/services/datasources/models.go
1.8561,0.0000,0.0000,,1.8561,0.0000,91,3,21,8,0,0,0,0,pkg/services/query/models.go
1.8503,0.0000,0.0000,,1.8503,0.0000,114,4,29,10,0,0,0,0,pkg/tsdb/cloudwatch/get_dimension_values_for_wildcards.go
1.8448,0.0000,0.0000,,1.8448,0.0000,38,1,2,10,0,0,0,0,pkg/setting/setting_auth_proxy.go
1.8443,0.0000,0.0000,,1.8443,0.0000,215,4,15,22,0,0,0,0,pkg/registry/apis/iam/user/rest_display.go
1.8421,0.0979,0.0979,,2.0421,0.2000,293,5,75,7,0,1,0,0,pkg/services/apiserver/builder/openapi.go
1.8396,0.0000,0.0000,,1.8396,0.0000,67,2,11,7,0,0,0,0,pkg/registry/apis/iam/legacysort/sort.go
1.8356,0.0000,0.0000,,1.8356,0.0000,240,9,42,38,0,0,0,0,pkg/services/preference/prefimpl/pref.go
1.8229,0.0000,0.0000,,1.8229,0.0000,45,1,6,3,0,0,0,0,pkg/registry/apps/annotation/tags_handler.go
1.8229,0.0000,0.0000,,1.8229,0.0000,37,1,6,3,0,0,0,0,pkg/services/accesscontrol/acimpl/basic_role_db_seed.go
1.8227,0.0000,0.0000,,1.8227,0.0000,57,0,8,2,0,0,0,0,scripts/webpack/plugins/CorsWorkerPlugin.js
1.8227,0.0000,0.0000,,1.8227,0.0000,74,1,8,2,0,0,0,0,e2e/cypress/support/e2e.js
1.8177,0.0000,0.0000,,1.8177,0.0000,80,4,17,18,0,0,0,0,apps/collections/pkg/apis/collections/v1alpha1/stars.go
1.8043,0.0000,0.0000,,1.8043,0.0000,333,9,67,19,0,0,0,0,apps/dashboard/pkg/migration/schemaversion/v34.go
1.7995,0.0000,0.0000,,1.7995,0.0000,314,11,66,31,0,0,0,0,apps/dashboard/pkg/migration/schemaversion/v16.go
1.7978,0.2176,0.2176,,2.2978,0.5000,175,2,39,4,0,1,0,0,pkg/services/pluginsintegration/pluginconfig/request.go
1.7907,0.0000,0.0000,,1.7907,0.0000,552,15,74,53,0,0,0,0,pkg/services/accesscontrol/database/seeder.go
1.7897,0.0000,0.0000,,1.7897,0.0000,111,2,15,4,0,0,0,0,pkg/services/accesscontrol/actest/common.go
1.7838,0.0000,0.0000,,1.7838,0.0000,77,1,21,0,0,0,0,0,pkg/registry/apps/alerting/notifications/routingtree/authorize.go
1.7838,0.0000,0.0000,,1.7838,0.0000,92,1,21,0,0,0,0,0,pkg/registry/apps/logsdrilldown/authorizer.go
1.7733,0.1582,0.1582,,2.1066,0.3333,137,3,27,11,0,1,0,0,pkg/services/live/pipeline/frame_output_threshold.go
1.7705,0.0000,0.0000,,1.7705,0.0000,102,2,41,0,0,0,0,0,apps/provisioning/pkg/generated/applyconfiguration/utils.go
1.7646,0.1141,0.1141,,1.9918,0.2273,2733,88,587,355,0,7,13,0,apps/dashboard/pkg/migration/conversion/v1_to_v2alpha1.go
1.7569,0.0000,0.0000,,1.7569,0.0000,74,1,20,0,0,0,0,0,pkg/registry/apps/alerting/notifications/inhibitionrule/authorize.go
1.7548,0.1596,0.1596,,2.0881,0.3333,140,3,28,10,0,1,0,0,pkg/services/ngalert/store/range_to_instant.go
1.7547,0.0000,0.0000,,1.7547,0.0000,23,1,7,2,0,0,0,0,pkg/registry/apis/provisioning/utils/metrics.go
1.7530,0.0000,0.0000,,1.7530,0.0000,302,5,29,13,0,0,0,0,pkg/registry/apps/alerting/notifications/register.go
1.7435,0.0000,0.0000,,1.7435,0.0000,53,1,2,8,0,0,0,0,pkg/tsdb/tempo/protospan_translation.go
1.7340,0.0000,0.0000,,1.7340,0.0000,286,1,5,3,0,0,0,0,pkg/tsdb/azuremonitor/types/types.go
1.7077,0.1633,0.1633,,2.0411,0.3333,184,6,35,32,0,2,0,0,pkg/tsdb/loki/parse_query.go
1.7069,0.0000,0.0000,,1.7069,0.0000,99,2,19,2,0,0,0,0,pkg/services/ngalert/eval/extract_md.go
1.7047,0.0000,0.0000,,1.7047,0.0000,50,0,3,5,0,0,0,0,scripts/webpack/webpack.stats.js
1.6887,0.0000,0.0000,,1.6887,0.0000,35,0,2,2,3,0,0,0,e2e/utils/flows/deleteDataSource.ts
1.6817,0.3729,0.3729,,2.6817,1.0000,103,1,18,6,0,1,0,0,pkg/tsdb/cloudwatch/log_sync_query.go
1.6777,0.3734,0.3734,,2.6777,1.0000,238,5,44,69,0,5,0,0,pkg/services/authz/zanzana/server/openfga_server.go
1.6777,0.0000,0.0000,,1.6777,0.0000,38,1,6,2,0,0,0,0,apps/alerting/rules/pkg/app/alertrule/mutator.go
1.6777,0.0000,0.0000,,1.6777,0.0000,32,1,6,2,0,0,0,0,apps/alerting/rules/pkg/app/recordingrule/mutator.go
1.6775,0.0000,0.0000,,1.6775,0.0000,358,10,58,21,0,0,0,0,pkg/services/correlations/database.go
1.6753,0.0000,0.0000,,1.6753,0.0000,211,4,22,9,0,0,0,0,pkg/registry/apis/iam/resourcepermission/search_handler.go
1.6750,0.0000,0.0000,,1.6750,0.0000,20,1,4,1,2,0,0,0,e2e-playwright/plugin-e2e/mysql/utils.ts
1.6731,0.0000,0.0000,,1.6731,0.0000,75,3,16,7,0,0,0,0,pkg/util/xorm/session_tx.go
1.6722,0.3742,0.3742,,2.6722,1.0000,120,1,14,8,0,1,0,0,pkg/services/authn/authnimpl/registration.go
1.6680,0.0000,0.0000,,1.6680,0.0000,91,1,17,0,0,0,0,0,apps/dashboard/pkg/migration/schemaversion/v6.go
1.6655,0.1668,0.1668,,1.9988,0.3333,100,3,18,14,0,1,0,0,apps/provisioning/pkg/repository/git/validator.go
1.6547,0.0000,0.0000,,1.6547,0.0000,22,0,1,11,0,0,0,0,pkg/services/user/error.go
1.6534,0.0851,0.0851,,1.8073,0.1538,357,13,70,43,0,2,0,0,pkg/tsdb/influxdb/flux/builder.go
1.6495,0.0000,0.0000,,1.6495,0.0000,102,3,17,6,0,0,0,0,pkg/components/dashdiffs/compare.go
1.6471,0.0000,0.0000,,1.6471,0.0000,133,5,17,19,0,0,0,0,apps/dashboard/pkg/migration/schemaversion/v19.go
1.6451,0.0000,0.0000,,1.6451,0.0000,151,3,19,5,0,0,0,0,apps/dashboard/pkg/migration/schemaversion/v27.go
1.6393,0.2679,0.2679,,2.2393,0.6000,725,10,91,50,0,4,2,0,pkg/registry/apis/dashboard/search.go
1.6298,0.0000,0.0000,,1.6298,0.0000,140,4,15,13,0,0,0,0,pkg/registry/apis/provisioning/resources/object.go
1.6288,0.0000,0.0000,,1.6288,0.0000,31,1,4,3,0,0,0,0,pkg/tsdb/cloudwatch/metric_data_input_builder.go
