gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
0.9288,0.0000,0.0000,,0.9288,0.0000,38,2,8,0,0,0,0,0,model/metadata/metadata.go
0.9172,0.3729,0.3729,,1.4627,0.5455,568,22,87,42,0,0,0,12,tsdb/exemplar.go
0.9168,0.0000,0.0000,,0.9168,0.0000,67,3,4,4,0,0,0,0,rules/origin.go
0.9099,0.4115,0.4115,,1.5463,0.6364,236,11,34,36,0,7,0,0,util/convertnhcb/convertnhcb.go
0.8993,0.2943,0.2943,,1.2743,0.3750,212,8,34,7,0,3,0,0,cmd/promtool/query.go
0.8897,0.0000,0.0000,,0.8897,0.0000,266,17,19,25,0,0,0,0,tsdb/isolation.go
0.8850,0.1238,0.1238,,1.0100,0.1250,190,8,11,14,0,1,0,0,discovery/nomad/nomad.go
0.8825,0.3269,0.3269,,1.3110,0.4286,358,21,64,36,0,9,0,0,tsdb/fileutil/direct_io_writer.go
0.8820,0.0000,0.0000,,0.8820,0.0000,265,13,30,6,0,0,0,0,tsdb/agent/series.go
0.8788,0.0000,0.0000,,0.8788,0.0000,46,2,3,2,0,0,0,0,util/runtime/statfs_windows.go
0.8757,0.0000,0.0000,,0.8757,0.0000,204,12,23,8,0,0,0,0,prompb/io/prometheus/write/v2/codec.go
0.8741,0.1279,0.1279,,1.0023,0.1282,614,39,86,36,0,5,0,0,tsdb/head_read.go
0.8713,0.0000,0.0000,,0.8713,0.0000,97,5,10,3,0,0,0,0,storage/secondary.go
0.8701,0.3012,0.3012,,1.2451,0.3750,553,24,64,40,0,9,0,0,rules/manager.go
0.8680,0.0000,0.0000,,0.8680,0.0000,44,2,7,0,0,0,0,0,tsdb/fileutil/preallocate_linux.go
0.8581,0.4927,0.4927,,1.6915,0.8333,389,12,40,52,0,10,0,0,discovery/aws/msk.go
0.8577,0.2799,0.2799,,1.1911,0.3333,140,6,13,11,0,2,0,0,discovery/ovhcloud/dedicated_server.go
0.8577,0.2799,0.2799,,1.1911,0.3333,159,6,13,11,0,2,0,0,discovery/ovhcloud/vps.go
0.8521,0.2511,0.2511,,1.1378,0.2857,180,7,18,6,2,2,0,0,discovery/xds/client.go
0.8516,0.0000,0.0000,,0.8516,0.0000,213,18,26,17,0,0,0,0,model/labels/labels_common.go
0.8514,0.1100,0.1100,,0.9567,0.1053,282,19,38,17,0,0,2,0,util/stats/query_stats.go
0.8507,0.0000,0.0000,,0.8507,0.0000,52,3,4,2,1,0,0,0,tsdb/fileutil/flock_solaris.go
0.8507,0.0000,0.0000,,0.8507,0.0000,47,3,4,2,1,0,0,0,tsdb/fileutil/flock_unix.go
0.8463,0.4622,0.4622,,1.5736,0.7273,261,11,40,32,0,8,0,0,discovery/registry.go
0.8328,0.4726,0.4726,,1.5791,0.7463,2052,67,305,144,2,38,4,8,scrape/scrape.go
0.8302,0.0912,0.0912,,0.9135,0.0833,203,12,15,17,0,1,0,0,storage/remote/storage.go
0.8219,0.2886,0.2886,,1.1552,0.3333,191,9,19,12,2,3,0,0,discovery/http/http.go
0.8117,0.5640,0.5640,,1.8617,1.0500,664,20,111,70,1,21,0,0,cmd/promtool/unittest.go
0.8086,0.4103,0.4103,,1.3711,0.5625,523,16,58,26,0,9,0,0,discovery/consul/consul.go
0.8054,0.5916,0.5916,,1.9721,1.1667,196,6,26,38,0,3,0,4,tsdb/agent/db_append_v2.go
0.8037,0.3902,0.3902,,1.3180,0.5143,698,35,99,60,4,18,0,0,tsdb/chunks/chunks.go
0.8032,0.0000,0.0000,,0.8032,0.0000,150,11,30,1,0,0,0,0,model/labels/matcher.go
0.8000,0.0000,0.0000,,0.8000,0.0000,28,1,3,0,0,0,0,0,prompb/custom.go
0.8000,0.0000,0.0000,,0.8000,0.0000,50,2,6,0,0,0,0,0,tsdb/fileutil/preallocate.go
0.8000,0.0000,0.0000,,0.8000,0.0000,40,1,3,0,0,0,0,0,promql/parser/value.go
0.7942,0.0272,0.0272,,0.8164,0.0222,440,45,55,46,0,1,0,0,storage/series.go
0.7918,0.1972,0.1972,,0.9862,0.1944,577,36,95,22,0,7,0,0,scrape/target.go
0.7820,0.1244,0.1244,,0.8931,0.1111,152,9,13,10,0,1,0,0,discovery/hetzner/hetzner.go
0.7772,0.7201,0.7201,,2.7772,2.0000,174,3,32,24,3,6,0,0,promql/promqltest/test_migrate.go
0.7500,0.0000,0.0000,,0.7500,0.0000,35,1,1,1,0,0,0,0,tsdb/fileutil/flock.go
0.7485,0.1293,0.1293,,0.8596,0.1111,556,36,49,38,0,4,0,0,rules/alerting.go
0.7424,0.0273,0.0273,,0.7632,0.0208,547,48,58,40,0,1,0,0,promql/value.go
0.7339,0.2665,0.2665,,1.0005,0.2667,289,15,30,16,0,4,0,0,discovery/zookeeper/zookeeper.go
0.7279,0.0284,0.0284,,0.7492,0.0213,529,47,73,24,0,1,0,0,tsdb/ooo_head_read.go
0.7259,0.5207,0.5207,,1.5144,0.7885,1568,52,254,82,2,41,0,0,config/config.go
0.7240,0.5011,0.5011,,1.4513,0.7273,286,11,51,16,0,5,0,3,tsdb/wlog/live_reader.go
0.7229,0.0000,0.0000,,0.7229,0.0000,56,4,10,0,0,0,0,0,util/strutil/strconv.go
0.7189,0.4640,0.4640,,1.3411,0.6222,985,45,138,80,2,28,0,0,tsdb/chunks/head_chunks.go
0.7128,0.2597,0.2597,,0.9628,0.2500,93,4,9,3,0,1,0,0,documentation/examples/remote_storage/remote_storage_adapter/graphite/client.go
0.7104,0.1580,0.1580,,0.8438,0.1333,248,15,25,11,0,2,0,0,storage/remote/read.go
0.7047,0.5866,0.5866,,1.7047,1.0000,48,1,3,5,0,1,0,0,storage/remote/googleiam/googleiam.go
0.6990,0.0000,0.0000,,0.6990,0.0000,168,17,10,23,0,0,0,0,tsdb/tsdbutil/histogram.go
0.6983,0.3231,0.3231,,1.0317,0.3333,310,15,23,25,0,5,0,0,discovery/uyuni/uyuni.go
0.6915,0.4792,0.4792,,1.3279,0.6364,251,11,31,22,0,7,0,0,discovery/digitalocean/digitalocean.go
0.6806,0.5803,0.5803,,1.6218,0.9412,452,17,81,40,0,16,0,0,discovery/kubernetes/pod.go
0.6721,0.1987,0.1987,,0.8387,0.1667,128,6,12,3,0,1,0,0,storage/remote/chunked.go
0.6718,0.0000,0.0000,,0.6718,0.0000,127,7,5,6,1,0,0,0,util/testutil/directory.go
0.6701,0.3950,0.3950,,1.1076,0.4375,466,16,53,11,0,7,0,0,scrape/manager.go
0.6677,0.3330,0.3330,,1.0010,0.3333,86,3,14,0,0,1,0,0,util/testrecord/record.go
0.6597,0.3973,0.3973,,1.0945,0.4348,505,23,59,24,0,7,0,3,discovery/manager.go
0.6500,0.4348,0.4348,,1.1500,0.5000,117,4,12,4,0,2,0,0,tsdb/compression/compression.go
0.6407,0.7784,0.7784,,2.8907,2.2500,378,4,71,39,0,9,0,0,scrape/scrape_append_v2.go
0.6368,0.4202,0.4202,,1.0983,0.4615,254,13,33,14,0,6,0,0,discovery/kubernetes/ingress.go
0.6340,0.0000,0.0000,,0.6340,0.0000,39,2,4,0,0,0,0,0,tsdb/fileutil/mmap_windows.go
0.6293,0.2412,0.2412,,0.8293,0.2000,203,10,14,9,0,0,0,2,tsdb/chunks/chunk_write_queue.go
0.6164,0.0000,0.0000,,0.6164,0.0000,138,8,13,1,0,0,0,0,schema/labels.go
0.6071,0.6731,0.6731,,1.8571,1.2500,495,12,74,38,0,15,0,0,discovery/kubernetes/endpointslice.go
0.6062,0.3548,0.3548,,0.9396,0.3333,352,18,32,18,0,1,0,5,storage/remote/write.go
0.6055,0.0000,0.0000,,0.6055,0.0000,59,4,3,3,0,0,0,0,storage/remote/ewma.go
0.6047,0.0000,0.0000,,0.6047,0.0000,45,2,2,1,0,0,0,0,util/httputil/context.go
0.6047,0.0000,0.0000,,0.6047,0.0000,86,6,6,3,0,0,0,0,notifier/alert.go
0.5983,0.2708,0.2708,,0.8205,0.2222,151,9,20,3,0,2,0,0,discovery/ovhcloud/ovhcloud.go
0.5924,0.5913,0.5913,,1.4496,0.8571,173,7,26,14,0,6,0,0,tsdb/wlog/reader.go
0.5895,0.2738,0.2738,,0.8117,0.2222,149,9,13,6,1,2,0,0,discovery/outscale/outscale.go
0.5874,0.5437,0.5437,,1.2874,0.7000,264,10,26,16,2,7,0,0,discovery/triton/triton.go
0.5871,0.2541,0.2541,,0.7871,0.2000,72,5,8,2,1,1,0,0,model/labels/test_utils.go
0.5840,0.0000,0.0000,,0.5840,0.0000,42,2,1,2,0,0,0,0,notifier/util.go
0.5838,0.0000,0.0000,,0.5838,0.0000,55,4,7,0,0,0,0,0,storage/errors.go
0.5825,0.0402,0.0402,,0.6069,0.0244,271,41,29,33,0,1,0,0,tsdb/encoding/encoding.go
0.5756,0.1618,0.1618,,0.6867,0.1111,153,9,14,3,0,1,0,0,util/logging/dedupe.go
0.5711,0.6001,0.6001,,1.4282,0.8571,338,14,98,8,0,12,0,0,model/relabel/relabel.go
0.5669,0.6085,0.6085,,1.4479,0.8810,1811,84,385,123,0,74,0,0,promql/promqltest/test.go
0.5532,0.2052,0.2052,,0.6961,0.1429,364,28,42,11,0,4,0,0,tsdb/chunkenc/chunk.go
0.5527,0.0000,0.0000,,0.5527,0.0000,70,3,2,2,0,0,0,0,util/zeropool/pool.go
0.5505,0.6846,0.6846,,1.7456,1.1951,1239,41,268,84,2,49,0,0,cmd/promtool/main.go
0.5503,0.4053,0.4053,,0.9253,0.3750,175,8,18,5,0,3,0,0,discovery/moby/dockerswarm.go
0.5492,0.5267,0.5267,,1.1603,0.6111,327,18,49,19,2,11,0,0,tsdb/tombstones/tombstones.go
0.5479,0.1858,0.1858,,0.6729,0.1250,129,8,6,8,0,1,0,0,discovery/stackit/stackit.go
0.5436,0.0000,0.0000,,0.5436,0.0000,107,9,2,12,0,0,0,0,util/features/features.go
0.5407,0.3814,0.3814,,0.8740,0.3333,87,6,7,8,0,2,0,0,prompb/io/prometheus/write/v2/symbols.go
0.5400,0.5814,0.5814,,1.2900,0.7500,125,4,12,5,1,3,0,0,documentation/examples/remote_storage/remote_storage_adapter/opentsdb/client.go
