score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
43.2777,431,99.00,99.00,0.3451,2,23,vs/workbench/services/label/common/labelService.ts
43.1521,1085,38.33,38.33,0.6184,14,51,vs/workbench/contrib/chat/electron-browser/actions/voiceChatActions.ts
41.2509,535,76.00,76.00,0.4963,6,11,vs/workbench/contrib/tasks/common/problemCollectors.ts
40.5426,2586,15.00,15.00,0.3896,5,90,vs/workbench/contrib/terminal/browser/terminalInstance.ts
40.0442,556,71.00,71.00,0.4272,4,15,vs/workbench/contrib/preferences/browser/preferencesSearch.ts
39.2566,953,40.00,40.00,0.4335,4,53,vs/workbench/contrib/files/browser/views/explorerView.ts
39.1773,1179,32.50,32.50,0.7006,4,39,vs/editor/contrib/folding/browser/folding.ts
38.9390,1911,19.00,19.00,1.0000,1,172,vs/workbench/contrib/chat/browser/chat.contribution.ts
38.5928,1176,31.00,31.00,0.2329,2,123,vs/workbench/contrib/notebook/browser/notebook.contribution.ts
38.3142,1445,25.67,25.67,0.6566,15,26,vs/editor/common/model.ts
38.1568,1135,33.00,33.00,0.5529,7,16,vs/platform/configuration/common/configurationModels.ts
38.1179,807,46.33,46.33,0.5923,5,25,vs/platform/userDataSync/common/abstractSynchronizer.ts
37.7741,495,75.00,75.00,0.7234,2,32,vs/platform/update/electron-main/updateService.win32.ts
37.2298,2702,13.61,13.61,0.5690,5,6,vs/workbench/contrib/notebook/browser/view/renderers/webviewPreloads.ts
36.8937,778,46.33,46.33,0.5947,2,43,vs/workbench/services/themes/browser/workbenchThemeService.ts
36.3374,851,41.67,41.67,0.5636,4,38,vs/workbench/api/browser/mainThreadChatSessions.ts
36.3337,1056,33.67,33.67,0.3334,3,31,vs/platform/terminal/node/ptyService.ts
36.2880,1878,18.67,18.67,0.4120,7,49,vs/workbench/contrib/tasks/browser/terminalTaskSystem.ts
35.2864,878,39.00,39.00,0.3826,4,46,vs/workbench/browser/parts/editor/breadcrumbsControl.ts
34.5187,1011,33.60,33.60,0.7436,7,9,vs/workbench/common/editor/editorGroupModel.ts
34.4345,758,44.00,44.00,0.1899,2,52,vs/workbench/contrib/remote/browser/remoteIndicator.ts
34.2514,1014,32.50,32.50,0.5542,15,29,vs/workbench/services/chat/common/chatEntitlementService.ts
34.0149,569,58.00,58.00,0.3886,10,24,vs/workbench/browser/parts/editor/editorDropTarget.ts
33.9262,415,80.00,80.00,0.4950,6,20,vs/editor/contrib/codeAction/browser/lightBulbWidget.ts
33.5651,906,36.00,36.00,0.6437,13,14,vs/workbench/services/editor/common/editorGroupsService.ts
32.8309,2333,13.55,13.55,0.5827,15,25,vs/editor/common/languages.ts
32.6287,837,37.50,37.50,0.4952,7,51,vs/workbench/contrib/notebook/browser/contrib/outline/notebookOutline.ts
32.5089,521,61.00,61.00,0.2284,2,29,vs/workbench/contrib/terminalContrib/chat/browser/terminalChatActions.ts
32.3636,497,64.00,64.00,0.5375,4,16,vs/platform/userDataSync/common/snippetsSync.ts
32.3498,464,68.00,68.00,0.6289,6,27,vs/platform/userDataSync/common/globalStateSync.ts
32.1030,1679,18.36,18.36,0.5545,15,28,vs/base/browser/ui/list/listWidget.ts
32.0458,1344,22.67,22.67,0.5529,15,48,vs/workbench/contrib/chat/browser/agentSessions/agentSessionsViewer.ts
32.0086,594,53.00,53.00,0.5536,5,11,vs/workbench/contrib/welcomeGettingStarted/common/gettingStartedContent.ts
31.5184,1834,16.56,16.56,0.6291,15,20,vs/workbench/contrib/tasks/common/problemMatcher.ts
31.3627,387,80.00,80.00,0.5893,3,10,vs/workbench/services/keybinding/common/windowsKeyboardMapper.ts
30.5544,612,49.00,49.00,0.5744,5,14,vs/workbench/api/common/extHostQuickOpen.ts
29.8882,958,30.00,30.00,0.4273,3,57,vs/workbench/contrib/workspace/browser/workspaceTrustEditor.ts
29.8761,1360,21.00,21.00,0.6556,15,32,vs/workbench/browser/actions/layoutActions.ts
29.6837,1366,21.17,21.17,1.0000,1,48,vs/workbench/contrib/preferences/browser/preferences.contribution.ts
29.3988,1130,24.83,24.83,0.5914,13,39,vs/sessions/contrib/sessions/browser/views/sessionsList.ts
29.3679,839,34.00,34.00,0.5925,4,36,vs/editor/contrib/wordHighlighter/browser/wordHighlighter.ts
28.8679,784,35.75,35.75,0.6605,4,37,vs/workbench/contrib/debug/browser/breakpointEditorContribution.ts
28.7666,479,59.00,59.00,0.5376,3,16,vs/platform/userDataSync/common/promptsSync/promptsSync.ts
28.6289,885,31.00,31.00,0.5443,6,52,vs/workbench/contrib/debug/browser/debugEditorContribution.ts
28.3523,383,72.00,72.00,0.4949,7,20,vs/workbench/contrib/tasks/browser/taskQuickPick.ts
28.3523,999,27.40,27.40,0.3813,3,45,vs/workbench/contrib/terminal/browser/xterm/xtermTerminal.ts
27.9626,1200,22.67,22.67,0.6494,3,35,vs/workbench/api/common/extHostChatAgents2.ts
27.8089,674,40.00,40.00,0.3445,2,39,vs/workbench/contrib/debug/browser/loadedScriptsView.ts
