score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
0.7125,85,8.00,3.41,0.6584,3,5,urls/conf.py
0.7109,124,2.20,0.94,0.6210,7,4,contrib/contenttypes/forms.py
0.7105,53,3.25,1.38,0.6515,8,4,db/models/functions/mixins.py
0.7101,83,1.20,0.51,0.5793,9,3,db/backends/oracle/utils.py
0.7080,69,5.00,2.13,0.6558,5,6,contrib/auth/management/commands/changepassword.py
0.7020,83,6.00,2.56,0.6405,2,8,contrib/admin/actions.py
0.6968,72,7.50,3.19,0.7829,3,7,views/csrf.py
0.6938,52,1.43,0.61,0.6515,10,2,db/models/fields/mixins.py
0.6905,62,1.67,0.71,0.7640,8,5,views/decorators/cache.py
0.6890,79,5.00,2.13,0.6169,4,6,core/management/commands/flush.py
0.6876,82,4.00,1.70,0.6583,7,3,utils/csp.py
0.6872,270,2.75,1.17,0.6662,5,1,utils/lorem_ipsum.py
0.6868,64,4.00,1.70,0.5891,5,6,db/backends/mysql/compiler.py
0.6866,60,4.00,1.70,0.6126,3,9,contrib/flatpages/views.py
0.6774,133,4.00,1.70,0.7969,5,4,views/defaults.py
0.6757,79,11.00,4.69,0.6275,2,3,core/files/move.py
0.6688,65,1.58,0.67,0.8002,10,2,views/decorators/clickjacking.py
