score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
2.0086,297,3.67,3.67,0.6216,2,29,core/spring-boot/src/main/java/org/springframework/boot/BeanDefinitionLoader.java
2.0044,265,2.38,2.38,1.0000,1,53,module/spring-boot-webmvc/src/main/java/org/springframework/boot/webmvc/autoconfigure/error/ErrorMvcAutoConfiguration.java
1.9986,308,3.00,3.00,0.4015,2,33,build-plugin/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/AbstractPackagerMojo.java
1.9881,358,2.93,2.93,0.6411,2,30,module/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/context/properties/ConfigurationPropertiesReportEndpoint.java
1.9866,704,1.53,1.53,0.7714,2,30,module/spring-boot-restclient/src/main/java/org/springframework/boot/restclient/RestTemplateBuilder.java
1.9798,306,2.88,2.88,1.0000,1,42,test-support/spring-boot-test-support/src/main/java/org/springframework/boot/testsupport/classpath/ModifiedClassPathClassLoader.java
1.9379,481,1.95,1.95,1.0000,1,38,build-plugin/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootBuildImage.java
1.9130,393,2.36,2.36,0.6637,2,32,configuration-metadata/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/ConfigurationMetadataAnnotationProcessor.java
1.8989,288,2.36,2.36,0.5197,2,40,module/spring-boot-web-server/src/main/java/org/springframework/boot/web/server/servlet/context/ServletWebServerApplicationContext.java
1.8940,121,14.00,14.00,1.0000,1,6,core/spring-boot/src/main/java/org/springframework/boot/context/properties/source/ConfigurationPropertySourcesPropertyResolver.java
1.8907,339,2.11,2.11,1.0000,1,45,module/spring-boot-jackson2/src/main/java/org/springframework/boot/jackson2/autoconfigure/Jackson2AutoConfiguration.java
1.8867,185,5.33,5.33,1.0000,1,34,module/spring-boot-devtools/src/main/java/org/springframework/boot/devtools/autoconfigure/DevToolsDataSourceAutoConfiguration.java
1.8524,221,4.88,4.88,1.0000,1,29,core/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/BindConverter.java
1.8364,845,1.28,1.28,0.3798,2,20,module/spring-boot-pulsar/src/main/java/org/springframework/boot/pulsar/autoconfigure/PulsarProperties.java
1.8362,293,2.92,2.92,0.5810,2,31,core/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/diagnostics/analyzer/NoSuchBeanDefinitionFailureAnalyzer.java
1.8308,250,2.92,2.92,1.0000,1,42,module/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/context/properties/Jackson2BeanSerializer.java
1.8209,322,2.35,2.35,0.6471,3,33,core/spring-boot/src/main/java/org/springframework/boot/env/ConfigTreePropertySource.java
1.8056,219,2.17,2.17,0.6755,2,46,module/spring-boot-webmvc/src/main/java/org/springframework/boot/webmvc/autoconfigure/actuate/web/WebMvcEndpointManagementContextConfiguration.java
1.8033,382,4.06,4.06,0.6888,2,3,cli/spring-boot-cli/src/json-shade/java/org/springframework/boot/cli/json/JSONStringer.java
1.8033,382,4.06,4.06,0.6888,2,3,configuration-metadata/spring-boot-configuration-processor/src/json-shade/java/org/springframework/boot/configurationprocessor/json/JSONStringer.java
1.8033,382,4.06,4.06,0.6888,2,3,configuration-metadata/spring-boot-configuration-metadata/src/json-shade/java/org/springframework/boot/configurationmetadata/json/JSONStringer.java
1.8000,360,3.33,3.33,1.0000,1,22,configuration-metadata/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/TypeUtils.java
1.7970,301,3.13,3.13,0.4844,2,25,module/spring-boot-jetty/src/main/java/org/springframework/boot/jetty/JettyWebServer.java
1.7925,291,2.12,2.12,0.6035,2,39,core/spring-boot/src/main/java/org/springframework/boot/web/servlet/support/SpringBootServletInitializer.java
1.7850,104,15.00,15.00,1.0000,1,7,module/spring-boot-jdbc/src/main/java/org/springframework/boot/jdbc/DataSourceUnwrapper.java
1.7814,496,2.48,2.48,1.0000,6,10,core/spring-boot/src/main/java/org/springframework/boot/context/properties/PropertyMapper.java
1.7795,241,2.92,2.92,1.0000,1,41,module/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/context/properties/JacksonBeanSerializer.java
1.7636,309,2.76,2.76,0.5592,2,28,core/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/BindableRuntimeHintsRegistrar.java
1.7526,253,3.14,3.14,0.3703,2,28,module/spring-boot-webflux/src/main/java/org/springframework/boot/webflux/autoconfigure/error/DefaultErrorWebExceptionHandler.java
1.7485,369,2.71,2.71,1.0000,1,28,core/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironment.java
1.7441,207,1.30,1.30,1.0000,1,57,module/spring-boot-graphql/src/main/java/org/springframework/boot/graphql/autoconfigure/servlet/GraphQlWebMvcAutoConfiguration.java
1.7380,219,2.00,2.00,1.0000,1,50,module/spring-boot-micrometer-tracing-opentelemetry/src/main/java/org/springframework/boot/micrometer/tracing/opentelemetry/autoconfigure/OpenTelemetryTracingAutoConfiguration.java
1.7333,310,2.60,2.60,0.5909,2,29,core/spring-boot/src/main/java/org/springframework/boot/context/config/StandardConfigDataLocationResolver.java
1.7291,263,4.14,4.14,0.5418,2,17,build-plugin/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/Image.java
1.7177,362,1.90,1.90,0.2849,2,30,module/spring-boot-tomcat/src/main/java/org/springframework/boot/tomcat/autoconfigure/TomcatWebServerFactoryCustomizer.java
1.7034,212,5.14,5.14,0.4476,2,15,core/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/MapBinder.java
1.7014,263,4.08,4.08,0.5901,2,17,cli/spring-boot-cli/src/main/java/org/springframework/boot/cli/command/init/InitCommand.java
1.7010,238,2.00,2.00,1.0000,1,47,module/spring-boot-kafka/src/main/java/org/springframework/boot/kafka/autoconfigure/KafkaAutoConfiguration.java
1.6816,217,3.83,3.83,0.6010,2,26,core/spring-boot-properties-migrator/src/main/java/org/springframework/boot/context/properties/migrator/PropertiesMigrationReporter.java
1.6793,184,2.33,2.33,1.0000,1,48,module/spring-boot-graphql/src/main/java/org/springframework/boot/graphql/autoconfigure/GraphQlAutoConfiguration.java
1.6714,248,1.80,1.80,1.0000,1,47,module/spring-boot-couchbase/src/main/java/org/springframework/boot/couchbase/autoconfigure/CouchbaseAutoConfiguration.java
1.6686,327,2.33,2.33,0.4776,2,27,core/spring-boot/src/main/java/org/springframework/boot/web/servlet/support/ErrorPageFilter.java
1.6646,314,2.65,2.65,0.5664,2,25,module/spring-boot-jpa/src/main/java/org/springframework/boot/jpa/EntityManagerFactoryBuilder.java
1.6580,432,1.47,1.47,0.5998,2,33,module/spring-boot-tomcat/src/main/java/org/springframework/boot/tomcat/TomcatWebServerFactory.java
1.6481,201,2.14,2.14,0.6304,2,41,module/spring-boot-devtools/src/main/java/org/springframework/boot/devtools/remote/client/RemoteClientConfiguration.java
1.6375,245,1.79,1.79,1.0000,1,46,module/spring-boot-jpa/src/main/java/org/springframework/boot/jpa/autoconfigure/JpaBaseConfiguration.java
1.6280,188,6.00,6.00,1.0000,1,18,module/spring-boot-health/src/main/java/org/springframework/boot/health/actuate/endpoint/HealthEndpointSupport.java
1.6224,325,1.68,1.68,1.0000,1,41,module/spring-boot-cassandra/src/main/java/org/springframework/boot/cassandra/autoconfigure/CassandraAutoConfiguration.java
1.6214,307,2.29,2.29,0.4213,2,27,core/spring-boot-autoconfigure-processor/src/main/java/org/springframework/boot/autoconfigureprocessor/AutoConfigureAnnotationProcessor.java
1.6195,390,2.55,2.55,1.0000,1,23,build-plugin/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/AbstractRunMojo.java
1.6053,219,4.80,4.80,0.6835,2,15,core/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/OnClassCondition.java
1.6033,160,5.33,5.33,1.0000,1,28,module/spring-boot-r2dbc/src/main/java/org/springframework/boot/r2dbc/autoconfigure/ConnectionFactoryConfigurations.java
1.5984,223,3.55,3.55,0.4688,3,21,core/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/validation/ValidationBindHandler.java
1.5846,271,4.56,4.56,1.0000,1,12,loader/spring-boot-loader/src/main/java/org/springframework/boot/loader/zip/FileDataBlock.java
1.5820,142,8.50,8.50,1.0000,1,13,core/spring-boot-properties-migrator/src/main/java/org/springframework/boot/context/properties/migrator/PropertyMigration.java
1.5809,241,3.43,3.43,0.4814,3,19,buildpack/spring-boot-buildpack-platform/src/main/java/org/springframework/boot/buildpack/platform/json/MappedObject.java
1.5773,340,2.73,2.73,1.0000,1,24,loader/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/AbstractJarWriter.java
1.5750,240,2.50,2.50,1.0000,1,37,module/spring-boot-liquibase/src/main/java/org/springframework/boot/liquibase/autoconfigure/LiquibaseAutoConfiguration.java
1.5591,183,1.14,1.14,1.0000,1,52,module/spring-boot-graphql/src/main/java/org/springframework/boot/graphql/autoconfigure/reactive/GraphQlWebFluxAutoConfiguration.java
1.5580,252,2.21,2.21,1.0000,1,38,core/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBinder.java
1.5576,299,2.43,2.43,0.5742,2,25,core/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributors.java
1.5562,275,1.75,1.75,1.0000,1,41,module/spring-boot-elasticsearch/src/main/java/org/springframework/boot/elasticsearch/autoconfigure/ElasticsearchRestClientConfigurations.java
1.5513,345,2.25,2.25,1.0000,1,29,test-support/spring-boot-docker-test-support/src/main/java/org/springframework/boot/testsupport/container/TestImage.java
